S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE
000852.SH,20130910,4372.782,4387.756,4352.595,4387.756
000905.SH,20130910,3836.471,3871.187,3832.32,3870.923
000300.SH,20130911,2483.791,2504.469,2471.624,2482.889
000852.SH,20130911,4382.219,4382.219,4296.339,4318.716
000905.SH,20130911,3876.586,3876.773,3814.277,3834.258
000300.SH,20130912,2480.468,2527.383,2469.718,2507.455
000852.SH,20130912,4302.423,4340.641,4297.483,4319.112
000905.SH,20130912,3824.754,3857.518,3815.741,3845.068
000300.SH,20130913,2502.54,2515.781,2481.454,2488.902
000852.SH,20130913,4314.722,4360.371,4300.154,4352.949
000905.SH,20130913,3846.452,3858.426,3825.178,3849.82
000300.SH,20130916,2501.077,2503.694,2467.129,2478.39
000852.SH,20130916,4354.72,4403.515,4354.72,4384.987
000905.SH,20130916,3852.362,3870.727,3836.406,3854.207
000300.SH,20130917,2480.81,2481.71,2426.462,2427.322
000852.SH,20130917,4384.623,4384.623,4324.216,4325.056
000905.SH,20130917,3851.657,3851.657,3785.23,3786.292
000300.SH,20130918,2426.04,2439.626,2407.243,2432.51
000852.SH,20130918,4320.388,4366.14,4315.179,4366.14
000905.SH,20130918,3780.702,3823.012,3776.703,3822.123
000300.SH,20130923,2441.516,2473.163,2439.993,2472.288
000852.SH,20130923,4372.882,4455.807,4372.882,4455.807
000905.SH,20130923,3830.947,3899.86,3830.947,3899.625
000300.SH,20130924,2470.715,2470.746,2420.085,2443.885
000852.SH,20130924,4455.434,4476.004,4417.954,4468.381
000905.SH,20130924,3897.409,3915.983,3864.44,3903.518
000300.SH,20130925,2440.835,2455.037,2423.276,2429.03
000852.SH,20130925,4464.488,4485.34,4439.364,4447.107
000905.SH,20130925,3899.612,3930.602,3881.599,3889.221
000300.SH,20130926,2422.631,2422.631,2382.535,2384.443
000852.SH,20130926,4437.379,4449.533,4375.461,4378.19
000905.SH,20130926,3879.476,3883.392,3806.641,3808.216
000300.SH,20130927,2382.218,2402.196,2379.856,2394.971
000852.SH,20130927,4378.411,4411.626,4378.411,4393.742
000905.SH,20130927,3805.497,3841.544,3802.901,3822.758
000300.SH,20130930,2406.205,2415.075,2397.22,2409.037
000852.SH,20130930,4405.446,4470.446,4405.446,4470.446
000905.SH,20130930,3834.17,3873.493,3834.012,3872.893
000300.SH,20131008,2406.415,2446.703,2392.572,2441.811
000852.SH,20131008,4476.776,4542.308,4471.666,4542.308
000905.SH,20131008,3875.522,3938.068,3866.677,3938.068
000300.SH,20131009,2432.94,2453.746,2424.769,2453.583
000852.SH,20131009,4537.154,4612.126,4526.542,4612.126
000905.SH,20131009,3928.399,3981.446,3915.73,3981.058
000300.SH,20131010,2455.64,2455.979,2422.017,2429.317
000852.SH,20131010,4619.846,4620.734,4558.379,4567.573
000905.SH,20131010,3990.779,4000.486,3947.841,3959.63
000300.SH,20131011,2442.364,2471.165,2439.634,2468.508
000852.SH,20131011,4576.753,4613.577,4562.184,4613.577
000905.SH,20131011,3975.109,4027.32,3975.109,4026.916
000300.SH,20131014,2472.267,2483.131,2462.551,2472.542
000852.SH,20131014,4614.789,4666.215,4607.931,4665.909
000905.SH,20131014,4034.189,4069.783,4024.591,4068.32
000300.SH,20131015,2475.324,2479.134,2449.416,2467.517
000852.SH,20131015,4669.7,4676.489,4629.512,4662.765
000905.SH,20131015,4074.827,4080.107,4043.793,4074.083
000300.SH,20131016,2459.077,2459.077,2409.718,2421.371
000852.SH,20131016,4651.246,4651.246,4495.948,4518.722
000905.SH,20131016,4063.823,4063.823,3941.589,3963.212
